Word	Count	Emotions
store	25	anticipation, positive
coat	14	
displease	5	
wither	11	negative, sadness
lamentation	4	
sharp	2	
phinehas	25	
upper	25	
prove	2	positive
tempt	7	
willingly	25	positive
inward	25	
somewhat	25	
eagle	25	trust
beareth	25	
spot	6	
fulness	25	
arnon	25	
abishai	25	
joyful	25	joy, positive, trust
nebat	25	
benhadad	25	
meshullam	25	
maaseiah	25	
darius	25	
pain	4	fear, negative, sadness
persecute	1	anger, fear, negative
void	24	
female	24	
beget	10	
ninety	24	
fifteen	24	
tarshish	24	
northward	24	
southward	24	
amalekite	3	
tithe	2	
kine	24	
eleven	24	
amalek	24	
midianite	1	
tamar	24	
fame	24	positive
oppression	3	anger, disgust, fear, negative, sadness
snow	24	
apart	24	
hunger	2	
condemn	2	anger, negative
usury	24	negative
dog	17	
bowl	17	
grove	17	
contrary	24	negative
dedicate	2	
lachish	24	
deny	4	anger, negative
jotham	24	
cedars	24	
boaz	24	
armour	24	
prudent	24	positive, trust
marvellous	24	
err	12	negative
precept	11	
bridegroom	24	anticipation, joy, positive, trust
lust	1	anticipation, negative
barren	23	negative, sadness
wickedly	23	
beautiful	23	joy, positive
mizpah	23	
mention	7	
basket	15	
marvel	1	positive, surprise
sixteen	23	
leaven	14	
alway	23	
pomegranate	10	
proclaim	3	
stir	1	
namely	23	
pronounce	1	
estimation	1	
abominable	23	disgust, fear, negative
killeth	23	
acceptable	23	positive
twelfth	23	
spring	5	
ammonites	23	
mizpeh	23	
treacherously	23	
hiram	23	
besiege	11	
jezebel	23	
hazael	23	
jehoram	23	
jehoahaz	23	
roar	5	
cyrus	23	
guide	1	positive, trust
